ticker,name,short
AAPL,APPLE INC.,apple
MSFT,MICROSOFT CORPORATION,microsoft
AMZN,"AMAZON.COM, INC.",amazon
GOOG,ALPHABET INC.,alphabet
FB,"FACEBOOK, INC.",facebook
TSLA,"TESLA, INC.",tesla
BRK.A,BERKSHIRE HATHAWAY INC.,berkshire-hathaway
V,VISA INC.,visa
JNJ,JOHNSON & JOHNSON,johnson-johnson
WMT,WALMART INC.,walmart
JPM,JPMORGAN CHASE & CO.,jpmorgan-chase
MA,MASTERCARD INCORPORATED.,mastercard
PG,THE PROCTER & GAMBLE COMPANY,procter-gamble
UNH,UNITEDHEALTH GROUP INCORPORATED,unitedhealth-group
DIS,THE WALT DISNEY COMPANY,disney
NVDA,NVIDIA CORPORATION,nvidia
HD,"THE HOME DEPOT, INC.",home-depot
PYPL,"PAYPAL HOLDINGS, INC.",paypal-holdings
BAC,BANK OF AMERICA CORPORATION,bank-of-america
VZ,VERIZON COMMUNICATIONS INC.,verizon
ADBE,ADOBE INC.,adobe
CMCSA,COMCAST CORPORATION,comcast
NFLX,"NETFLIX, INC.",netflix
KO,THE COCA-COLA COMPANY,cocacola
NKE,"NIKE, INC.",nike
MRK,"MERCK & CO., INC.",merck
PEP,"PEPSICO, INC.",pepsico
T,AT&T INC.,at-t
PFE,PFIZER INC.,pfizer
INTC,INTEL CORPORATION,intel
CRM,"SALESFORCE.COM, INC.","salesforce,-inc"
ABT,ABBOTT LABORATORIES,abbott-laboratories
ORCL,ORACLE CORPORATION,oracle
ABBV,ABBVIE INC.,abbvie
CSCO,"CISCO SYSTEMS, INC.",cisco
TMO,THERMO FISHER SCIENTIFIC INC.,thermo-fisher-scientific
AVGO,Broadcom Inc.,broadcom
XOM,EXXON MOBIL CORPORATION,exxon
ACN,ACCENTURE PUBLIC LIMITED COMPANY,accenture
QCOM,QUALCOMM INCORPORATED,qualcomm
COST,COSTCO WHOLESALE CORPORATION,costco
CVX,CHEVRON CORPORATION,chevron
LLY,ELI LILLY AND COMPANY,eli-lilly
MCD,MCDONALD'S CORPORATION,mcdonalds
DHR,DANAHER CORPORATION,danaher
MDT,MEDTRONIC PUBLIC LIMITED COMPANY,medtronic
NEE,"NEXTERA ENERGY, INC.",nextera-energy
TXN,TEXAS INSTRUMENTS INCORPORATED,texas-instruments
HON,HONEYWELL INTERNATIONAL INC.,honeywell
UPS,"UNITED PARCEL SERVICE, INC.",ups
